Scheme Name,Folio No,ISIN,Transaction Date,Transaction Type,Amount (Rs.),Units,Price (Rs.)
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,15-01-2020,Purchase,30000,1071.4286,28.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,15-01-2020,Purchase,25000,480.7692,52.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,15-01-2020,Purchase,20000,526.3158,38.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,15-01-2020,Purchase,15000,357.1429,42.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-01-2020,Purchase,10000,68.9655,145.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-02-2020,SIP,3000,123.7113,24.25
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-02-2020,SIP,2000,44.4444,45.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-02-2020,SIP,2000,62.5,32.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-02-2020,SIP,2000,55.5556,36.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-02-2020,SIP,1000,7.6046,131.5
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-03-2020,SIP,3000,146.3415,20.5
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-03-2020,SIP,2000,52.6316,38.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-03-2020,SIP,2000,76.9231,26.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-03-2020,SIP,2000,66.6667,30.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-03-2020,SIP,1000,8.4746,118.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-04-2020,SIP,3000,134.3484,22.33
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-04-2020,SIP,2000,48.391,41.33
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-04-2020,SIP,2000,69.7593,28.67
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-04-2020,SIP,2000,61.2182,32.67
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-04-2020,SIP,1000,7.9789,125.33
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-05-2020,SIP,3000,124.1208,24.17
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-05-2020,SIP,2000,44.7728,44.67
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-05-2020,SIP,2000,63.8366,31.33
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-05-2020,SIP,2000,56.6091,35.33
