Instrument,Qty.,Avg. Cost,LTP,Cur. Val.,ISIN
RELIANCE,35,1183.57,1450.0,50750.0,INE002A01018
INFY,35,868.57,1580.0,55300.0,INE009A01021
TCS,10,2070.0,3850.0,38500.0,INE467B01029
HDFCBANK,30,1152.5,1680.0,50400.0,INE040A01034
KOTAKBANK,15,1376.67,1950.0,29250.0,INE237A01028
BAJFINANCE,5,4748.0,6250.0,31250.0,INE296A01024
ASIANPAINT,5,2750.0,2780.0,13900.0,INE021A01026
TITAN,15,2295.0,3450.0,51750.0,INE280A01028
SBIN,150,524.0,820.0,123000.0,INE062A01020
MARUTISUZUKI,5,8480.0,11200.0,56000.0,INE585B01010
LTIM,5,4800.0,5750.0,28750.0,INE214T01019
NESTLEIND,3,2350.0,2450.0,7350.0,INE239A01016
ZOMATO,100,215.0,265.0,26500.0,INE758T01015
COALINDIA,50,435.0,385.0,19250.0,INE522F01014
