Trade_Type,Trade_Date,Order_Execution_Time,Symbol,ISIN,Quantity,Price,Exchange,Segment,Series,Trade_Id,Order_Id
BUY,15-01-2020,11:07:00,RELIANCE,INE002A01018,20,1420.0,NSE,EQ,EQ,TRD00001,ORD00001
BUY,15-01-2020,12:14:00,INFY,INE009A01021,30,720.0,NSE,EQ,EQ,TRD00002,ORD00002
BUY,15-01-2020,13:21:00,TCS,INE467B01029,5,2200.0,NSE,EQ,EQ,TRD00003,ORD00003
BUY,15-01-2020,10:28:00,HDFCBANK,INE040A01034,25,1250.0,NSE,EQ,EQ,TRD00004,ORD00004
BUY,15-01-2020,11:35:00,KOTAKBANK,INE237A01028,5,1690.0,NSE,EQ,EQ,TRD00005,ORD00005
BUY,20-03-2020,12:42:00,RELIANCE,INE002A01018,15,895.0,NSE,EQ,EQ,TRD00006,ORD00006
BUY,20-03-2020,13:49:00,INFY,INE009A01021,20,680.0,NSE,EQ,EQ,TRD00007,ORD00007
BUY,20-03-2020,10:56:00,HDFCBANK,INE040A01034,15,875.0,NSE,EQ,EQ,TRD00008,ORD00008
BUY,20-03-2020,11:03:00,KOTAKBANK,INE237A01028,10,1220.0,NSE,EQ,EQ,TRD00009,ORD00009
BUY,15-05-2020,12:10:00,TCS,INE467B01029,5,1940.0,NSE,EQ,EQ,TRD00010,ORD00010
BUY,15-06-2020,13:17:00,WIPRO,INE075A01022,50,250.0,NSE,EQ,EQ,TRD00011,ORD00011
BUY,15-09-2020,10:24:00,BAJFINANCE,INE296A01024,5,3200.0,NSE,EQ,EQ,TRD00012,ORD00012
BUY,10-01-2021,11:31:00,INFY,INE009A01021,10,1320.0,NSE,EQ,EQ,TRD00013,ORD00013
BUY,15-03-2021,12:38:00,ASIANPAINT,INE021A01026,10,2750.0,NSE,EQ,EQ,TRD00014,ORD00014
SELL,10-06-2021,13:45:00,RELIANCE,INE002A01018,10,2105.0,NSE,EQ,EQ,TRD00015,ORD00015
BUY,15-06-2021,10:52:00,BAJFINANCE,INE296A01024,3,5780.0,NSE,EQ,EQ,TRD00016,ORD00016
SELL,15-09-2021,11:59:00,INFY,INE009A01021,25,1745.0,NSE,EQ,EQ,TRD00017,ORD00017
SELL,20-10-2021,12:06:00,WIPRO,INE075A01022,50,675.0,NSE,EQ,EQ,TRD00018,ORD00018
SELL,10-12-2021,13:13:00,HDFCBANK,INE040A01034,20,1575.0,NSE,EQ,EQ,TRD00019,ORD00019
BUY,10-01-2022,10:20:00,TITAN,INE280A01028,15,2295.0,NSE,EQ,EQ,TRD00020,ORD00020
BUY,15-07-2022,11:27:00,SBIN,INE062A01020,100,505.0,NSE,EQ,EQ,TRD00021,ORD00021
BUY,20-02-2023,12:34:00,SBIN,INE062A01020,50,562.0,NSE,EQ,EQ,TRD00022,ORD00022
SELL,20-03-2023,13:41:00,BAJFINANCE,INE296A01024,3,5230.0,NSE,EQ,EQ,TRD00023,ORD00023
BUY,10-04-2023,10:48:00,MARUTISUZUKI,INE585B01010,5,8480.0,NSE,EQ,EQ,TRD00024,ORD00024
BUY,15-09-2023,11:55:00,HDFCBANK,INE040A01034,10,1520.0,NSE,EQ,EQ,TRD00025,ORD00025
BUY,20-03-2024,12:02:00,LTIM,INE214T01019,5,4800.0,NSE,EQ,EQ,TRD00026,ORD00026
BUY,10-06-2024,13:09:00,NESTLEIND,INE239A01016,3,2350.0,NSE,EQ,EQ,TRD00027,ORD00027
SELL,15-11-2024,10:16:00,ASIANPAINT,INE021A01026,5,2850.0,NSE,EQ,EQ,TRD00028,ORD00028
BUY,12-02-2025,11:23:00,ZOMATO,INE758T01015,100,215.0,NSE,EQ,EQ,TRD00029,ORD00029
BUY,20-06-2025,12:30:00,COALINDIA,INE522F01014,50,435.0,NSE,EQ,EQ,TRD00030,ORD00030
BUY,15-01-2026,13:37:00,RELIANCE,INE002A01018,10,1380.0,NSE,EQ,EQ,TRD00031,ORD00031
